Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency
ANET,ARISTA NETWORKS INC,Information Technology,Equity,"38,680,862.34",0.23,"38,680,862.34","274,002.00",141.17,United States,New York Stock Exchange Inc.,USD
COF,CAPITAL ONE FINANCIAL CORP,Financials,Equity,"37,860,167.52",0.23,"37,860,167.52","167,286.00",226.32,United States,New York Stock Exchange Inc.,USD
GILD,GILEAD SCIENCES INC,Health Care,Equity,"37,361,603.16",0.22,"37,361,603.16","331,308.00",112.77,United States,NASDAQ,USD
PFE,PFIZER INC,Health Care,Equity,"37,056,209.82",0.22,"37,056,209.82","1,510,033.00",24.54,United States,New York Stock Exchange Inc.,USD
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,"36,943,283.46",0.22,"36,943,283.46","297,426.00",124.21,United States,NASDAQ,USD
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"36,857,123.16",0.22,"36,857,123.16","171,301.00",215.16,United States,NASDAQ,USD
ETN,EATON PLC,Industrials,Equity,"36,316,560.24",0.22,"36,316,560.24","104,292.00",348.22,United States,New York Stock Exchange Inc.,USD
SYK,STRYKER CORP,Health Care,Equity,"36,131,402.50",0.22,"36,131,402.50","91,625.00",394.34,United States,New York Stock Exchange Inc.,USD
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,"36,016,747.25",0.22,"36,016,747.25","319,439.00",112.75,United States,New York Stock Exchange Inc.,USD
UNP,UNION PACIFIC CORP,Industrials,Equity,"35,506,690.80",0.21,"35,506,690.80","159,180.00",223.06,United States,New York Stock Exchange Inc.,USD
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"34,199,936.48",0.2,"34,199,936.48","216,127.00",158.24,United States,NASDAQ,USD
LRCX,LAM RESEARCH CORP,Information Technology,Equity,"34,177,043.22",0.2,"34,177,043.22","340,341.00",100.42,United States,NASDAQ,USD
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,"33,645,862.00",0.2,"33,645,862.00","174,920.00",192.35,United States,NASDAQ,USD
DHR,DANAHER CORP,Health Care,Equity,"33,639,652.54",0.2,"33,639,652.54","169,018.00",199.03,United States,New York Stock Exchange Inc.,USD
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"33,311,773.95",0.2,"33,311,773.95","981,201.00",33.95,United States,NASDAQ,USD
BX,BLACKSTONE INC,Financials,Equity,"33,105,694.60",0.2,"33,105,694.60","194,854.00",169.9,United States,New York Stock Exchange Inc.,USD
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,"32,514,364.07",0.19,"32,514,364.07","107,953.00",301.19,United States,NASDAQ,USD
